SUBJECT_ID,NUMBER OF AND,NUMBER OF BYTE,Column1,Number of char[],Number of char[inHEx]
527,2022,758,758.25,759,2F7
528,1935,725,725.625,726,2D6
529,11578,4341,4341.75,4342,10F6
530,1566,587,587.25,588,24C
531,1364,511,511.5,512,200
532,2018,756,756.75,757,2F5
533,1979,742,742.125,743,2E7
534,1101,412,412.875,413,19D
535,3418,1281,1281.75,1282,502
536,1558,584,584.25,585,249
537,1058,396,396.75,397,18D
538,1762,660,660.75,661,295
539,13487,5057,5057.625,5058,13C2
540,1527,572,572.625,573,23D
541,12622,4733,4733.25,4734,127E
542,15327,5747,5747.625,5748,1674
543,4475,1678,1678.125,1679,68F
544,32417,12156,12156.375,12157,2F7D
545,2575,965,965.625,966,3C6
546,3289,1233,1233.375,1234,4D2
547,1898,711,711.75,712,2C8
548,1291,484,484.125,485,1E5
549,1240,465,465,465,1D1
550,1073,402,402.375,403,193
551,3074,1152,1152.75,1153,481
552,27887,10457,10457.625,10458,28DA
553,2621,982,982.875,983,3D7
554,11649,4368,4368.375,4369,1111
555,3316,1243,1243.5,1244,4DC
556,1408,528,528,528,210
557,13554,5082,5082.75,5083,13DB
558,1603,601,601.125,602,25A
559,3077,1153,1153.875,1154,482
560,40796,15298,15298.5,15299,3BC3
561,1916,718,718.5,719,2CF
562,29490,11058,11058.75,11059,2B33
563,2661,997,997.875,998,3E6
564,2426,909,909.75,910,38E
565,1739,652,652.125,653,28D
566,3372,1264,1264.5,1265,4F1
567,582,218,218.25,219,DB
568,49759,18659,18659.625,18660,48E4
569,17155,6433,6433.125,6434,1922
570,5343,2003,2003.625,2004,7D4
571,1903,713,713.625,714,2CA
572,2802,1050,1050.75,1051,41B
573,4762,1785,1785.75,1786,6FA
574,1657,621,621.375,622,26E
575,1893,709,709.875,710,2C6
576,3569,1338,1338.375,1339,53B
577,3749,1405,1405.875,1406,57E
578,13504,5064,5064,5064,13C8
579,1939,727,727.125,728,2D8
580,354,132,132.75,133,85
581,20168,7563,7563,7563,1D8B
582,31062,11648,11648.25,11649,2D81
583,1207,452,452.625,453,1C5
584,2241,840,840.375,841,349
585,2230,836,836.25,837,345
586,1200,450,450,450,1C2
587,2692,1009,1009.5,1010,3F2
588,1946,729,729.75,730,2DA
589,27131,10174,10174.125,10175,27BF
590,37269,13975,13975.875,13976,3698
591,83461,31297,31297.875,31298,7A42
592,12466,4674,4674.75,4675,1243
593,10548,3955,3955.5,3956,F74
594,1425,534,534.375,535,217
595,1328,498,498,498,1F2
596,1143,428,428.625,429,1AD
597,3583,1343,1343.625,1344,540
598,106993,40122,40122.375,40123,9CBB
599,5226,1959,1959.75,1960,7A8
600,1035,388,388.125,389,185
601,17822,6683,6683.25,6684,1A1C
602,1467,550,550.125,551,227
603,2027,760,760.125,761,2F9
604,355,133,133.125,134,86
605,30869,11575,11575.875,11576,2D38
606,62674,23502,23502.75,23503,5BCF
607,4416,1656,1656,1656,678
608,1669,625,625.875,626,272
609,23889,8958,8958.375,8959,22FF
610,1499,562,562.125,563,233
611,1537,576,576.375,577,241
612,2828,1060,1060.5,1061,425
613,3183,1193,1193.625,1194,4AA
614,283,106,106.125,107,6B
615,32269,12100,12100.875,12101,2F45
616,12661,4747,4747.875,4748,128C
617,17099,6412,6412.125,6413,190D
618,1584,594,594,594,252
619,2673,1002,1002.375,1003,3EB
620,1250,468,468.75,469,1D5
621,6046,2267,2267.25,2268,8DC
622,55885,20956,20956.875,20957,51DD
623,3150,1181,1181.25,1182,49E
624,5038,1889,1889.25,1890,762
625,13349,5005,5005.875,5006,138E
626,12938,4851,4851.75,4852,12F4
627,2345,879,879.375,880,370
628,1494,560,560.25,561,231
629,1140,427,427.5,428,1AC
630,46468,17425,17425.5,17426,4412
631,19182,7193,7193.25,7194,1C1A
632,2699,1012,1012.125,1013,3F5
633,2295,860,860.625,861,35D
634,1086,407,407.25,408,198
635,2024,759,759,759,2F7
636,870,326,326.25,327,147
637,1005,376,376.875,377,179
638,12375,4640,4640.625,4641,1221
639,1698,636,636.75,637,27D
640,1036,388,388.5,389,185
641,18364,6886,6886.5,6887,1AE7
642,7315,2743,2743.125,2744,AB8
643,1026,384,384.75,385,181
644,2972,1114,1114.5,1115,45B
645,12138,4551,4551.75,4552,11C8
646,3603,1351,1351.125,1352,548
647,14247,5342,5342.625,5343,14DF
648,3282,1230,1230.75,1231,4CF
649,22420,8407,8407.5,8408,20D8
650,13177,4941,4941.375,4942,134E
651,1113,417,417.375,418,1A2
652,10764,4036,4036.5,4037,FC5
653,2620,982,982.5,983,3D7
654,13556,5083,5083.5,5084,13DC
655,2334,875,875.25,876,36C
656,3827,1435,1435.125,1436,59C
657,4076,1528,1528.5,1529,5F9
658,1315,493,493.125,494,1EE
659,4377,1641,1641.375,1642,66A
660,1638,614,614.25,615,267
661,12614,4730,4730.25,4731,127B
662,1069,400,400.875,401,191
663,2840,1065,1065,1065,429
664,12318,4619,4619.25,4620,120C
665,1164,436,436.5,437,1B5
666,64577,24216,24216.375,24217,5E99
667,4094,1535,1535.25,1536,600
668,1810,678,678.75,679,2A7
669,12067,4525,4525.125,4526,11AE
670,1404,526,526.5,527,20F
671,1541,577,577.875,578,242
672,22345,8379,8379.375,8380,20BC
673,83246,31217,31217.25,31218,79F2
674,3071,1151,1151.625,1152,480
675,3316,1243,1243.5,1244,4DC
676,10934,4100,4100.25,4101,1005
677,14805,5551,5551.875,5552,15B0
678,1009,378,378.375,379,17B
679,1474,552,552.75,553,229
680,6228,2335,2335.5,2336,920
681,2237,838,838.875,839,347
682,2203,826,826.125,827,33B
683,4780,1792,1792.5,1793,701
684,4144,1554,1554,1554,612
685,3043,1141,1141.125,1142,476
686,1287,482,482.625,483,1E3
687,23864,8949,8949,8949,22F5
688,15436,5788,5788.5,5789,169D
689,12029,4510,4510.875,4511,119F
690,3295,1235,1235.625,1236,4D4
691,1838,689,689.25,690,2B2
692,4013,1504,1504.875,1505,5E1
693,1206,452,452.25,453,1C5
694,3738,1401,1401.75,1402,57A
695,1311,491,491.625,492,1EC
696,15294,5735,5735.25,5736,1668
697,3078,1154,1154.25,1155,483
698,19240,7215,7215,7215,1C2F
699,1359,509,509.625,510,1FE
700,1179,442,442.125,443,1BB
701,6002,2250,2250.75,2251,8CB
702,15414,5780,5780.25,5781,1695
703,1081,405,405.375,406,196
704,20775,7790,7790.625,7791,1E6F
705,1766,662,662.25,663,297
706,12134,4550,4550.25,4551,11C7
707,2186,819,819.75,820,334
708,2606,977,977.25,978,3D2
709,6536,2451,2451,2451,993
710,2683,1006,1006.125,1007,3EF
711,1038,389,389.25,390,186
712,1219,457,457.125,458,1CA
713,1284,481,481.5,482,1E2
714,1771,664,664.125,665,299
715,1824,684,684,684,2AC
716,1135,425,425.625,426,1AA
717,17297,6486,6486.375,6487,1957
718,3289,1233,1233.375,1234,4D2
719,1201,450,450.375,451,1C3
720,1416,531,531,531,213
721,16864,6324,6324,6324,18B4
722,12718,4769,4769.25,4770,12A2
723,10783,4043,4043.625,4044,FCC
724,6311,2366,2366.625,2367,93F
725,20129,7548,7548.375,7549,1D7D
726,1064,399,399,399,18F
727,1325,496,496.875,497,1F1
728,1326,497,497.25,498,1F2
729,2788,1045,1045.5,1046,416
730,23301,8737,8737.875,8738,2222
731,11388,4270,4270.5,4271,10AF
732,3146,1179,1179.75,1180,49C
733,28301,10612,10612.875,10613,2975
734,1190,446,446.25,447,1BF
735,1106,414,414.75,415,19F
736,4303,1613,1613.625,1614,64E
737,15556,5833,5833.5,5834,16CA
738,67870,25451,25451.25,25452,636C
739,11409,4278,4278.375,4279,10B7
740,3865,1449,1449.375,1450,5AA
741,1272,477,477,477,1DD
742,16173,6064,6064.875,6065,17B1
743,1030,386,386.25,387,183
744,5797,2173,2173.875,2174,87E
745,180638,67739,67739.25,67740,1089C
746,3000,1125,1125,1125,465
747,2523,946,946.125,947,3B3
748,1615,605,605.625,606,25E
749,1250,468,468.75,469,1D5
750,1401,525,525.375,526,20E
751,3774,1415,1415.25,1416,588
752,848,318,318,318,13E
753,2775,1040,1040.625,1041,411
754,28019,10507,10507.125,10508,290C
755,19934,7475,7475.25,7476,1D34
756,5053,1894,1894.875,1895,767
757,1282,480,480.75,481,1E1
758,17190,6446,6446.25,6447,192F
759,1309,490,490.875,491,1EB
760,3155,1183,1183.125,1184,4A0
761,21261,7972,7972.875,7973,1F25
762,48123,18046,18046.125,18047,467F
763,3612,1354,1354.5,1355,54B
764,11312,4242,4242,4242,1092
765,1084,406,406.5,407,197
766,18944,7104,7104,7104,1BC0
767,1500,562,562.5,563,233
768,4179,1567,1567.125,1568,620
769,35477,13303,13303.875,13304,33F8
770,1824,684,684,684,2AC
771,24781,9292,9292.875,9293,244D
772,1189,445,445.875,446,1BE
773,3233,1212,1212.375,1213,4BD
774,1976,741,741,741,2E5
775,1503,563,563.625,564,234
776,2632,987,987,987,3DB
777,14708,5515,5515.5,5516,158C
778,1263,473,473.625,474,1DA
779,1346,504,504.75,505,1F9
780,2781,1042,1042.875,1043,413
781,11299,4237,4237.125,4238,108E
782,2073,777,777.375,778,30A
783,14004,5251,5251.5,5252,1484
784,19947,7480,7480.125,7481,1D39
785,13701,5137,5137.875,5138,1412
786,13036,4888,4888.5,4889,1319
787,1859,697,697.125,698,2BA
788,2326,872,872.25,873,369
789,1099,412,412.125,413,19D
790,2872,1077,1077,1077,435
791,3372,1264,1264.5,1265,4F1
792,19560,7335,7335,7335,1CA7
793,4609,1728,1728.375,1729,6C1
794,1294,485,485.25,486,1E6
795,1650,618,618.75,619,26B
796,1363,511,511.125,512,200
797,2824,1059,1059,1059,423
798,43487,16307,16307.625,16308,3FB4
799,1265,474,474.375,475,1DB
800,1300,487,487.5,488,1E8
801,1381,517,517.875,518,206
802,19750,7406,7406.25,7407,1CEF
803,1337,501,501.375,502,1F6
804,16243,6091,6091.125,6092,17CC
805,26448,9918,9918,9918,26BE
806,14450,5418,5418.75,5419,152B
807,2390,896,896.25,897,381
808,71399,26774,26774.625,26775,6897
809,1187,445,445.125,446,1BE
810,24090,9033,9033.75,9034,234A
811,7017,2631,2631.375,2632,A48
812,13643,5116,5116.125,5117,13FD
813,2436,913,913.5,914,392
814,8082,3030,3030.75,3031,BD7
815,1081,405,405.375,406,196
816,2119,794,794.625,795,31B
817,3200,1200,1200,1200,4B0
818,3836,1438,1438.5,1439,59F
819,17194,6447,6447.75,6448,1930
820,1019,382,382.125,383,17F
821,2680,1005,1005,1005,3ED
822,24805,9301,9301.875,9302,2456
823,1602,600,600.75,601,259
824,2213,829,829.875,830,33E
825,3203,1201,1201.125,1202,4B2
826,26058,9771,9771.75,9772,262C
827,5331,1999,1999.125,2000,7D0
828,3578,1341,1341.75,1342,53E
829,13172,4939,4939.5,4940,134C
830,2010,753,753.75,754,2F2
831,27962,10485,10485.75,10486,28F6
832,1371,514,514.125,515,203
833,1073,402,402.375,403,193
834,19141,7177,7177.875,7178,1C0A
835,4963,1861,1861.125,1862,746
836,2903,1088,1088.625,1089,441
837,1130,423,423.75,424,1A8
838,33240,12465,12465,12465,30B1
839,2759,1034,1034.625,1035,40B
840,59055,22145,22145.625,22146,5682
841,1153,432,432.375,433,1B1
842,23289,8733,8733.375,8734,221E
843,1311,491,491.625,492,1EC
844,4279,1604,1604.625,1605,645
845,30581,11467,11467.875,11468,2CCC
846,2181,817,817.875,818,332
847,29994,11247,11247.75,11248,2BF0
848,2750,1031,1031.25,1032,408
849,2453,919,919.875,920,398
850,1546,579,579.75,580,244
851,14624,5484,5484,5484,156C
852,3356,1258,1258.5,1259,4EB
853,3798,1424,1424.25,1425,591
854,55603,20851,20851.125,20852,5174
855,20379,7642,7642.125,7643,1DDB
856,2465,924,924.375,925,39D
857,1903,713,713.625,714,2CA
858,1211,454,454.125,455,1C7
859,2694,1010,1010.25,1011,3F3
860,29176,10941,10941,10941,2ABD
861,1914,717,717.75,718,2CE
862,3004,1126,1126.5,1127,467
863,1665,624,624.375,625,271
864,1174,440,440.25,441,1B9
865,2985,1119,1119.375,1120,460
866,2626,984,984.75,985,3D9
867,22669,8500,8500.875,8501,2135
868,1374,515,515.25,516,204
869,32188,12070,12070.5,12071,2F27
870,12199,4574,4574.625,4575,11DF
871,1040,390,390,390,186
872,1034,387,387.75,388,184
873,14541,5452,5452.875,5453,154D
874,22016,8256,8256,8256,2040
875,1306,489,489.75,490,1EA
876,28380,10642,10642.5,10643,2993
877,1288,483,483,483,1E3
878,2220,832,832.5,833,341
879,1413,529,529.875,530,212
880,12484,4681,4681.5,4682,124A
881,3738,1401,1401.75,1402,57A
882,1321,495,495.375,496,1F0
883,1859,697,697.125,698,2BA
884,1224,459,459,459,1CB
885,1581,592,592.875,593,251
886,14618,5481,5481.75,5482,156A
887,1613,604,604.875,605,25D
888,12708,4765,4765.5,4766,129E
889,20167,7562,7562.625,7563,1D8B
890,17196,6448,6448.5,6449,1931
891,1013,379,379.875,380,17C
892,22300,8362,8362.5,8363,20AB
893,1472,552,552,552,228
894,1225,459,459.375,460,1CC
895,2723,1021,1021.125,1022,3FE
896,24325,9121,9121.875,9122,23A2
897,38153,14307,14307.375,14308,37E4
898,23919,8969,8969.625,8970,230A
899,2322,870,870.75,871,367
900,1082,405,405.75,406,196
901,15265,5724,5724.375,5725,165D
902,1137,426,426.375,427,1AB
903,3085,1156,1156.875,1157,485
904,24781,9292,9292.875,9293,244D
905,1584,594,594,594,252
906,68222,25583,25583.25,25584,63F0
907,15460,5797,5797.5,5798,16A6
908,1759,659,659.625,660,294
909,21278,7979,7979.25,7980,1F2C
910,1465,549,549.375,550,226
911,13396,5023,5023.5,5024,13A0
912,3855,1445,1445.625,1446,5A6
913,2864,1074,1074,1074,432
914,2728,1023,1023,1023,3FF
915,15693,5884,5884.875,5885,16FD
916,1746,654,654.75,655,28F
917,15567,5837,5837.625,5838,16CE
918,13219,4957,4957.125,4958,135E
919,3101,1162,1162.875,1163,48B
920,47681,17880,17880.375,17881,45D9
921,1219,457,457.125,458,1CA
922,50323,18871,18871.125,18872,49B8
923,26195,9823,9823.125,9824,2660
924,5686,2132,2132.25,2133,855
925,55379,20767,20767.125,20768,5120
926,1928,723,723,723,2D3
927,2893,1084,1084.875,1085,43D
928,1415,530,530.625,531,213
929,1763,661,661.125,662,296
930,1174,440,440.25,441,1B9
931,16361,6135,6135.375,6136,17F8
932,3029,1135,1135.875,1136,470
933,18252,6844,6844.5,6845,1ABD
934,14523,5446,5446.125,5447,1547
935,1570,588,588.75,589,24D
936,22964,8611,8611.5,8612,21A4
937,2349,880,880.875,881,371
938,1469,550,550.875,551,227
939,2681,1005,1005.375,1006,3EE
940,53962,20235,20235.75,20236,4F0C
941,2879,1079,1079.625,1080,438
942,5557,2083,2083.875,2084,824
943,1479,554,554.625,555,22B
944,1223,458,458.625,459,1CB
945,3684,1381,1381.5,1382,566
946,48960,18360,18360,18360,47B8
947,12069,4525,4525.875,4526,11AE
948,1050,393,393.75,394,18A
949,1815,680,680.625,681,2A9
950,1733,649,649.875,650,28A
951,1208,453,453,453,1C5
952,1382,518,518.25,519,207
953,2961,1110,1110.375,1111,457
954,10946,4104,4104.75,4105,1009
955,12365,4636,4636.875,4637,121D
956,2560,960,960,960,3C0
957,1125,421,421.875,422,1A6
958,12120,4545,4545,4545,11C1
959,1800,675,675,675,2A3
960,1826,684,684.75,685,2AD
961,53870,20201,20201.25,20202,4EEA
962,1592,597,597,597,255
963,4216,1581,1581,1581,62D
964,13609,5103,5103.375,5104,13F0
965,2532,949,949.5,950,3B6
966,1536,576,576,576,240
967,1109,415,415.875,416,1A0
968,7530,2823,2823.75,2824,B08
969,32874,12327,12327.75,12328,3028
970,20026,7509,7509.75,7510,1D56
971,3591,1346,1346.625,1347,543
972,1897,711,711.375,712,2C8
973,32200,12075,12075,12075,2F2B
974,3904,1464,1464,1464,5B8
975,1049,393,393.375,394,18A
976,2975,1115,1115.625,1116,45C
977,57742,21653,21653.25,21654,5496
978,10897,4086,4086.375,4087,FF7
979,64805,24301,24301.875,24302,5EEE
980,5504,2064,2064,2064,810
981,19503,7313,7313.625,7314,1C92
982,1414,530,530.25,531,213
983,2643,991,991.125,992,3E0
984,3379,1267,1267.125,1268,4F4
985,1656,621,621,621,26D
986,1072,402,402,402,192
987,11930,4473,4473.75,4474,117A
988,30128,11298,11298,11298,2C22
989,1511,566,566.625,567,237
990,4939,1852,1852.125,1853,73D
991,56273,21102,21102.375,21103,526F
992,14690,5508,5508.75,5509,1585
993,1537,576,576.375,577,241
994,11478,4304,4304.25,4305,10D1
995,1148,430,430.5,431,1AF
996,14074,5277,5277.75,5278,149E
997,1769,663,663.375,664,298
998,3714,1392,1392.75,1393,571
999,23410,8778,8778.75,8779,224B
1000,1096,411,411,411,19B
1001,1406,527,527.25,528,210
1002,22566,8462,8462.25,8463,210F
1003,12828,4810,4810.5,4811,12CB
1004,2059,772,772.125,773,305
1005,418,156,156.75,157,9D
1006,30187,11320,11320.125,11321,2C39
1007,1691,634,634.125,635,27B
1008,14096,5286,5286,5286,14A6
1009,15889,5958,5958.375,5959,1747
1010,2163,811,811.125,812,32C
1011,1200,450,450,450,1C2
1012,1143,428,428.625,429,1AD
1013,1087,407,407.625,408,198
1014,7737,2901,2901.375,2902,B56
1015,174049,65268,65268.375,65269,FEF5
1016,4235,1588,1588.125,1589,635
1017,12239,4589,4589.625,4590,11EE
1018,1099,412,412.125,413,19D
1019,3831,1436,1436.625,1437,59D
1020,18501,6937,6937.875,6938,1B1A
1021,1307,490,490.125,491,1EB
1022,1382,518,518.25,519,207
1023,3734,1400,1400.25,1401,579
1024,15690,5883,5883.75,5884,16FC
1025,14523,5446,5446.125,5447,1547
1026,1418,531,531.75,532,214
1027,3783,1418,1418.625,1419,58B
1028,1200,450,450,450,1C2
1029,14220,5332,5332.5,5333,14D5
1030,1136,426,426,426,1AA
1031,20950,7856,7856.25,7857,1EB1
1032,1220,457,457.5,458,1CA
1033,1305,489,489.375,490,1EA
1034,2840,1065,1065,1065,429
1035,2357,883,883.875,884,374
1036,1329,498,498.375,499,1F3
1037,2770,1038,1038.75,1039,40F
1038,3131,1174,1174.125,1175,497
1039,1963,736,736.125,737,2E1
1040,6647,2492,2492.625,2493,9BD
1041,24016,9006,9006,9006,232E
1042,1018,381,381.75,382,17E
1043,2421,907,907.875,908,38C
1044,2652,994,994.5,995,3E3
1045,2206,827,827.25,828,33C
1046,2071,776,776.625,777,309
1047,33484,12556,12556.5,12557,310D
1048,1733,649,649.875,650,28A
1049,13002,4875,4875.75,4876,130C
1050,1256,471,471,471,1D7
1051,1426,534,534.75,535,217
1052,2316,868,868.5,869,365
1053,1166,437,437.25,438,1B6
1054,30303,11363,11363.625,11364,2C64
1055,1104,414,414,414,19E
1056,14734,5525,5525.25,5526,1596
1057,1448,543,543,543,21F
1058,1330,498,498.75,499,1F3
1059,1897,711,711.375,712,2C8
1060,1645,616,616.875,617,269
1061,2714,1017,1017.75,1018,3FA
1062,2122,795,795.75,796,31C
1063,12106,4539,4539.75,4540,11BC
1064,7951,2981,2981.625,2982,BA6
1065,2227,835,835.125,836,344
1066,2761,1035,1035.375,1036,40C
1067,14169,5313,5313.375,5314,14C2
1068,21451,8044,8044.125,8045,1F6D
1069,14266,5349,5349.75,5350,14E6
1070,1629,610,610.875,611,263
1071,14371,5389,5389.125,5390,150E
1072,1075,403,403.125,404,194
1073,4127,1547,1547.625,1548,60C
1074,1413,529,529.875,530,212
1075,1333,499,499.875,500,1F4
1076,1950,731,731.25,732,2DC
1077,1183,443,443.625,444,1BC
1078,1466,549,549.75,550,226
1079,2065,774,774.375,775,307
1080,4393,1647,1647.375,1648,670
1081,2113,792,792.375,793,319
1082,3627,1360,1360.125,1361,551
1083,2923,1096,1096.125,1097,449
1084,16703,6263,6263.625,6264,1878
1085,1337,501,501.375,502,1F6
1086,1457,546,546.375,547,223
1087,3153,1182,1182.375,1183,49F
1088,13316,4993,4993.5,4994,1382
1089,1198,449,449.25,450,1C2
1090,2982,1118,1118.25,1119,45F
1091,1081,405,405.375,406,196
1092,1385,519,519.375,520,208
1093,4746,1779,1779.75,1780,6F4
1094,13216,4956,4956,4956,135C
1095,1526,572,572.25,573,23D
1096,2825,1059,1059.375,1060,424
1097,1291,484,484.125,485,1E5
1098,2799,1049,1049.625,1050,41A
1099,43718,16394,16394.25,16395,400B
1100,5328,1998,1998,1998,7CE
1101,1013,379,379.875,380,17C
1102,2794,1047,1047.75,1048,418
1103,5348,2005,2005.5,2006,7D6
1104,1517,568,568.875,569,239
1105,2826,1059,1059.75,1060,424
1106,2734,1025,1025.25,1026,402
1107,11244,4216,4216.5,4217,1079
1108,11232,4212,4212,4212,1074
1109,2054,770,770.25,771,303
1110,1056,396,396,396,18C
1111,1553,582,582.375,583,247
1112,13529,5073,5073.375,5074,13D2
1113,4445,1666,1666.875,1667,683
1114,5546,2079,2079.75,2080,820
1115,1435,538,538.125,539,21B
1116,1242,465,465.75,466,1D2
1117,12465,4674,4674.375,4675,1243
1118,1867,700,700.125,701,2BD
1119,2285,856,856.875,857,359
1120,2281,855,855.375,856,358
1121,1535,575,575.625,576,240
1122,2167,812,812.625,813,32D
1123,1964,736,736.5,737,2E1
1124,16001,6000,6000.375,6001,1771
1125,1804,676,676.5,677,2A5
1126,5553,2082,2082.375,2083,823
1127,5862,2198,2198.25,2199,897
1128,13943,5228,5228.625,5229,146D
1129,1121,420,420.375,421,1A5
1130,12819,4807,4807.125,4808,12C8
1131,14033,5262,5262.375,5263,148F
1132,1226,459,459.75,460,1CC
1133,1021,382,382.875,383,17F
1134,4177,1566,1566.375,1567,61F
1135,2074,777,777.75,778,30A
1136,15042,5640,5640.75,5641,1609
1137,2905,1089,1089.375,1090,442
1138,2096,786,786,786,312
1139,1497,561,561.375,562,232
1140,2484,931,931.5,932,3A4
1141,2115,793,793.125,794,31A
1142,11185,4194,4194.375,4195,1063
1143,2414,905,905.25,906,38A
1144,1821,682,682.875,683,2AB
1145,1350,506,506.25,507,1FB
1146,2842,1065,1065.75,1066,42A
1147,1136,426,426,426,1AA
1148,3828,1435,1435.5,1436,59C
1149,8275,3103,3103.125,3104,C20
1150,12140,4552,4552.5,4553,11C9
1151,1136,426,426,426,1AA
1152,1911,716,716.625,717,2CD
1153,3226,1209,1209.75,1210,4BA
1154,5204,1951,1951.5,1952,7A0
1155,2835,1063,1063.125,1064,428
1156,2454,920,920.25,921,399
1157,3763,1411,1411.125,1412,584
1158,14523,5446,5446.125,5447,1547
1159,1204,451,451.5,452,1C4
1160,2338,876,876.75,877,36D
1161,671,251,251.625,252,FC
1162,14887,5582,5582.625,5583,15CF
1163,27919,10469,10469.625,10470,28E6
1164,2350,881,881.25,882,372
1165,2962,1110,1110.75,1111,457
1166,3098,1161,1161.75,1162,48A
1167,1316,493,493.5,494,1EE
1168,1402,525,525.75,526,20E
1169,4555,1708,1708.125,1709,6AD
1170,15316,5743,5743.5,5744,1670
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
MAX_BYTE,343807,,MAX_CHAR,128928,
